id: 446, score:   0.28, green: 19, yellow:  8, red:  4, rose:  1
id: 745, score:   0.28, green: 15, yellow: 13, red:  2, rose:  2
id: 489, score:   0.24, green: 13, yellow:  9, red:  6, rose:  2
id: 507, score:   0.24, green: 17, yellow: 10, red:  2, rose:  0
id: 132, score:   0.24, green: 16, yellow:  8, red:  5, rose:  2
id: 322, score:   0.24, green: 14, yellow:  9, red:  6, rose:  3
id: 326, score:   0.24, green: 14, yellow: 11, red:  4, rose:  1
id: 417, score:   0.24, green: 11, yellow: 13, red:  5, rose:  4
id: 844, score:   0.24, green: 15, yellow:  9, red:  6, rose:  3
id: 956, score:   0.24, green: 12, yellow:  9, red:  8, rose:  3
id:  50, score:    0.2, green: 16, yellow:  5, red:  5, rose:  3
id:  71, score:    0.2, green: 11, yellow: 13, red:  6, rose:  4
id:  91, score:    0.2, green: 15, yellow:  7, red:  6, rose:  5
id: 152, score:    0.2, green: 11, yellow:  7, red: 10, rose:  5
id: 160, score:    0.2, green: 12, yellow: 10, red:  6, rose:  1
id: 169, score:    0.2, green: 18, yellow:  4, red:  6, rose:  4
id: 171, score:    0.2, green: 13, yellow:  9, red:  5, rose:  4
id: 193, score:    0.2, green: 15, yellow:  8, red:  5, rose:  5
id: 247, score:    0.2, green: 13, yellow:  8, red:  7, rose:  4
id: 303, score:    0.2, green: 13, yellow: 12, red:  4, rose:  1
id: 336, score:    0.2, green: 12, yellow: 10, red:  7, rose:  3
id: 353, score:    0.2, green: 12, yellow: 10, red:  7, rose:  1
id: 359, score:    0.2, green: 13, yellow:  8, red:  8, rose:  3
id: 376, score:    0.2, green: 14, yellow: 10, red:  5, rose:  3
id: 473, score:    0.2, green: 15, yellow:  6, red:  7, rose:  4
id: 514, score:    0.2, green: 12, yellow: 12, red:  4, rose:  2
id: 520, score:    0.2, green: 13, yellow:  7, red:  8, rose:  5
id: 552, score:    0.2, green: 14, yellow: 12, red:  3, rose:  1
id: 555, score:    0.2, green: 19, yellow:  6, red:  2, rose:  2
id: 601, score:    0.2, green: 14, yellow:  5, red:  9, rose:  7
id: 652, score:    0.2, green: 15, yellow: 10, red:  3, rose:  2
id: 743, score:    0.2, green: 11, yellow: 10, red:  6, rose:  1
id: 750, score:    0.2, green: 17, yellow:  9, red:  3, rose:  1
id: 776, score:    0.2, green: 16, yellow:  8, red:  5, rose:  3
id: 781, score:    0.2, green: 14, yellow: 12, red:  4, rose:  2
id: 810, score:    0.2, green: 15, yellow: 10, red:  4, rose:  3
id: 825, score:    0.2, green: 11, yellow: 10, red:  5, rose:  4
id: 896, score:    0.2, green: 10, yellow:  7, red: 10, rose:  6
id: 899, score:    0.2, green: 20, yellow:  7, red:  0, rose:  0
id: 917, score:    0.2, green: 16, yellow:  7, red:  7, rose:  4
id:   2, score:   0.16, green: 15, yellow:  9, red:  3, rose:  3
id:   6, score:   0.16, green: 14, yellow:  6, red:  9, rose:  5
id:   8, score:   0.16, green: 14, yellow:  7, red:  7, rose:  2
id:  11, score:   0.16, green: 17, yellow:  7, red:  5, rose:  2
id:  33, score:   0.16, green: 10, yellow:  7, red: 11, rose:  6
id:  42, score:   0.16, green: 13, yellow:  6, red:  9, rose:  4
id:  43, score:   0.16, green: 15, yellow:  6, red:  7, rose:  6
